station,level,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R15,R17,R18,R19,AA,MA,NH,NW,SF,SK,SV,TA,VA,VC
ท่าอากาศยานตรัง,3,72.42,0.0,75.96,100.0,58.89,87.71,81.92,90.0,61.55,69.38,,39.29,,,50.0,70.0,80.0,64.38,76.67,100.0,86.54,96.47,0.0,0.0,52.22,64.38,0
ท่าอากาศยานนครศรีธรรมราช,3,72.4,0.0,75.47,80.71,52.17,86.35,77.05,92.75,40.17,0.0,,39.29,19.17,72.0,59.52,75.83,77.5,72.61,76.53,100.0,80.48,93.9,0.0,72.0,65.4,56.79,0
ท่าอากาศยานนราธิวาส,3,10.0,41.11,78.71,100.0,53.81,78.66,41.67,84.29,66.9,80.83,63.75,29.29,,30.0,50.0,77.78,57.5,42.78,64.68,37.5,83.88,86.67,0.0,30.0,52.22,59.63,0
ท่าอากาศยานนานาชาติภูเก็ต,3,87.91,37.21,83.2,91.96,65.22,80.37,78.72,100.0,54.54,78.12,60.67,0.0,,86.0,66.46,,,77.24,74.16,66.67,89.69,95.79,0.0,86.0,74.44,66.59,0
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,3,81.26,52.41,73.13,81.53,67.59,81.1,72.31,91.0,75.62,73.12,100.0,46.97,0.0,100.0,71.33,,57.5,51.91,80.03,22.11,84.54,78.85,0.0,100.0,58.67,65.24,0
ท่าอากาศยานหาดใหญ่,3,78.27,52.41,82.83,98.41,60.42,84.36,79.9,85.44,92.07,83.75,100.0,39.64,,100.0,64.29,100.0,100.0,68.57,87.71,77.69,88.43,88.83,0.0,100.0,59.74,71.14,0
ท่าอากาศยานเบตง,3,86.92,52.78,91.11,100.0,56.5,72.15,76.67,80.41,82.9,80.0,30.0,34.29,0.0,30.0,35.0,92.38,,62.67,73.17,82.5,92.51,83.27,0.0,30.0,72.45,63.12,0
ท่าเทียบเรือปากเมง,3,74.98,20.28,70.91,100.0,46.67,,,90.0,55.0,0.0,,48.93,19.17,,40.0,,58.75,60.91,63.81,25.0,72.28,77.5,0.0,0.0,48.33,43.0,0
ท่าเทียบเรือศุลกากร ระนอง,3,73.12,0.0,62.39,68.44,60.83,55.94,68.68,72.82,0.0,0.0,30.0,43.0,0.0,58.0,36.67,47.5,30.0,60.83,73.27,0,65.79,76.83,0.0,58.0,51.35,44.0,0
ท่าเทียบเรือหลักเมือง,3,67.78,0.0,0.0,100.0,,,66.63,,0.0,100.0,,57.0,,,,100.0,10.0,72.0,62.67,0,63.75,86.67,0.0,0.0,45.71,30.0,0
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),3,33.06,0.0,,100.0,,,100.0,,70.0,,,,,,,,60.0,46.67,74.38,20.0,65.0,60.0,0.0,0.0,65.0,80.0,0
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),3,40.28,0.0,,,,,,,0.0,,,,,,23.33,,60.0,73.33,30.0,0,33.18,20.0,0.0,0.0,70.0,20.0,0
ท่าเรือคงคา,3,69.85,0.0,62.48,,45.33,,63.08,65.71,0.0,100.0,,35.67,,44.0,36.67,100.0,,51.25,61.18,0,60.77,78.18,0.0,44.0,46.92,41.11,0
ท่าเรือทุ่งมะขามน้อย,3,74.27,,61.97,,43.33,80.83,,68.57,61.72,0.0,100.0,59.33,55.0,44.0,54.44,91.25,80.0,68.33,63.42,20.0,68.41,73.33,0.0,44.0,56.09,50.0,0
ท่าเรือปากบารา,3,,,67.76,100.0,52.5,76.67,78.44,77.14,0.0,,,,26.67,,,73.33,,35.71,73.17,0,71.75,90.91,0.0,0.0,38.48,62.83,0
ท่าเรือรัษฎา,3,74.62,,61.43,,52.22,68.23,70.22,79.39,67.93,0.0,100.0,45.67,29.38,44.0,56.67,100.0,57.5,57.5,73.22,20.0,67.41,85.88,0.0,44.0,42.5,52.88,0
ท่าเรือสวนเจ้าฟ้า,3,71.11,,71.49,,,,65.38,,0.0,100.0,,52.33,26.67,44.0,36.67,100.0,,58.33,65.83,0,69.88,81.54,0.0,44.0,48.0,36.67,0
ท่าเรือสุระกุล,3,10.0,,65.44,,45.0,,,73.21,0.0,0.0,,47.67,20.0,44.0,23.33,70.0,10.0,33.33,80.0,0,63.25,76.47,0.0,44.0,47.78,29.17,0
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,3,74.33,20.28,77.67,,47.67,88.33,,81.43,76.9,73.75,,45.67,7.5,30.0,52.38,75.0,100.0,50.0,72.04,53.33,79.0,87.14,0.0,30.0,48.8,53.96,0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,3,58.29,0.0,,100.0,55.21,88.33,85.0,75.36,73.46,0.0,51.11,53.5,,44.0,50.0,100.0,100.0,41.43,64.78,25.0,74.34,77.14,0.0,44.0,45.19,80.0,0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,3,10.0,,48.75,,49.44,60.0,82.69,72.57,24.48,0.0,67.78,47.85,21.67,44.0,36.67,54.64,,45.45,69.66,85.0,59.11,86.0,0.0,44.0,44.33,52.89,0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,3,80.83,0.0,76.77,100.0,48.33,,76.67,90.0,65.36,0.0,67.78,57.0,30.83,44.0,50.0,100.0,80.0,50.0,65.85,45.0,85.46,86.67,0.0,44.0,51.47,58.85,0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,3,73.44,0.0,77.85,100.0,52.22,,60.85,83.81,69.48,86.25,63.33,59.33,34.58,58.0,32.22,100.0,63.75,60.0,66.32,25.0,81.07,88.72,0.0,58.0,50.73,50.0,0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,3,83.46,,76.19,91.25,55.0,69.07,74.01,90.0,71.03,86.25,30.0,56.56,16.67,30.0,43.33,75.0,80.0,47.5,77.32,20.0,77.71,83.08,0.0,30.0,62.65,57.67,0
