station,U type,an_point,lv
สถานีขนส่งผู้โดยสารจังหวัดตรัง,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,NW,72.24,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,SF,84.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,SV,47.5,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,TA,67.78,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,VA,73.33,1.0
สถานีขนส่งผู้โดยสารจังหวัดตรัง,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,AA,41.43,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,MA,69.58,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,NW,56.35,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,SF,95.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,SV,47.5,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,TA,66.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,VA,41.67,1.0
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,AA,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,MA,62.14,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,NW,88.8,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,SF,97.33,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,SV,47.5,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,TA,80.77,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,VA,42.86,1.0
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,AA,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,MA,53.08,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,NW,86.53,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,SF,94.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,SV,65.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,TA,53.57,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,VA,44.74,1.0
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,AA,56.67,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,MA,68.1,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,NW,77.57,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,SF,86.67,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,SV,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,TA,91.25,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,VA,41.56,1.0
สถานีขนส่งผู้โดยสารจังหวัดพังงา,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,AA,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,MA,68.12,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,NW,73.78,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,SF,100.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,SV,47.5,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,TA,67.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,VA,60.77,1.0
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,AA,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,MA,81.85,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,NW,79.86,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,SF,100.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,SV,100.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,TA,69.09,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,VA,46.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,AA,50.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,MA,63.33,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,NW,76.33,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,SF,100.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,SV,47.5,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,TA,86.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,VA,38.18,1.0
สถานีขนส่งผู้โดยสารจังหวัดระนอง,VC,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,AA,30.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,MA,67.89,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,NH,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,NW,70.62,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,SF,68.89,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,SK,0.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,SV,65.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,TA,80.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,VA,56.0,1.0
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,VC,0.0,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),AA,40.0,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),MA,62.22,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),NH,0.0,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),NW,75.0,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),SF,92.0,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),SK,0.0,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),SV,47.5,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),TA,61.25,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),VA,60.83,1.0
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),VC,0.0,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,AA,30.0,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,MA,50.67,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,NH,0.0,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,NW,80.68,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,SF,92.73,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,SK,0.0,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,SV,30.0,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,TA,57.27,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,VA,34.38,1.0
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,VC,0.0,1.0
สถานีขนส่งสตูล,AA,30.0,1.0
สถานีขนส่งสตูล,MA,63.33,1.0
สถานีขนส่งสตูล,NH,0.0,1.0
สถานีขนส่งสตูล,NW,80.38,1.0
สถานีขนส่งสตูล,SF,85.45,1.0
สถานีขนส่งสตูล,SK,0.0,1.0
สถานีขนส่งสตูล,SV,47.5,1.0
สถานีขนส่งสตูล,TA,87.14,1.0
สถานีขนส่งสตูล,VA,58.0,1.0
สถานีขนส่งสตูล,VC,0.0,1.0
สถานีขนส่งหาดใหญ่,AA,30.0,1.0
สถานีขนส่งหาดใหญ่,MA,72.22,1.0
สถานีขนส่งหาดใหญ่,NH,0.0,1.0
สถานีขนส่งหาดใหญ่,NW,59.91,1.0
สถานีขนส่งหาดใหญ่,SF,100.0,1.0
สถานีขนส่งหาดใหญ่,SK,0.0,1.0
สถานีขนส่งหาดใหญ่,SV,53.33,1.0
สถานีขนส่งหาดใหญ่,TA,48.75,1.0
สถานีขนส่งหาดใหญ่,VA,43.16,1.0
สถานีขนส่งหาดใหญ่,VC,0.0,1.0
สถานีรถไฟชุมทางทุ่งสง,AA,50.0,1.0
สถานีรถไฟชุมทางทุ่งสง,MA,63.68,1.0
สถานีรถไฟชุมทางทุ่งสง,NH,0.0,1.0
สถานีรถไฟชุมทางทุ่งสง,NW,74.22,1.0
สถานีรถไฟชุมทางทุ่งสง,SF,96.67,1.0
สถานีรถไฟชุมทางทุ่งสง,SK,0.0,1.0
สถานีรถไฟชุมทางทุ่งสง,SV,65.0,1.0
สถานีรถไฟชุมทางทุ่งสง,TA,71.67,1.0
สถานีรถไฟชุมทางทุ่งสง,VA,56.67,1.0
สถานีรถไฟชุมทางทุ่งสง,VC,0.0,1.0
สถานีรถไฟชุมทางหาดใหญ่,AA,43.33,1.0
สถานีรถไฟชุมทางหาดใหญ่,MA,69.58,1.0
สถานีรถไฟชุมทางหาดใหญ่,NH,30.0,1.0
สถานีรถไฟชุมทางหาดใหญ่,NW,74.49,1.0
สถานีรถไฟชุมทางหาดใหญ่,SF,86.5,1.0
สถานีรถไฟชุมทางหาดใหญ่,SK,0.0,1.0
สถานีรถไฟชุมทางหาดใหญ่,SV,47.5,1.0
สถานีรถไฟชุมทางหาดใหญ่,TA,82.22,1.0
สถานีรถไฟชุมทางหาดใหญ่,VA,49.33,1.0
สถานีรถไฟชุมทางหาดใหญ่,VC,0.0,1.0
สถานีรถไฟชุมพร,AA,44.0,1.0
สถานีรถไฟชุมพร,MA,58.0,1.0
สถานีรถไฟชุมพร,NH,30.0,1.0
สถานีรถไฟชุมพร,NW,58.91,1.0
สถานีรถไฟชุมพร,SF,88.33,1.0
สถานีรถไฟชุมพร,SK,0.0,1.0
สถานีรถไฟชุมพร,SV,47.5,1.0
สถานีรถไฟชุมพร,TA,68.67,1.0
สถานีรถไฟชุมพร,VA,48.33,1.0
สถานีรถไฟชุมพร,VC,0.0,1.0
สถานีรถไฟตรัง,AA,30.0,1.0
สถานีรถไฟตรัง,MA,75.33,1.0
สถานีรถไฟตรัง,NH,0.0,1.0
สถานีรถไฟตรัง,NW,74.34,1.0
สถานีรถไฟตรัง,SF,85.0,1.0
สถานีรถไฟตรัง,SK,0.0,1.0
สถานีรถไฟตรัง,SV,47.5,1.0
สถานีรถไฟตรัง,TA,81.11,1.0
สถานีรถไฟตรัง,VA,62.73,1.0
สถานีรถไฟตรัง,VC,0.0,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),AA,30.0,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),MA,57.5,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),NH,0.0,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),NW,71.07,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),SF,100.0,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),SK,0.0,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),SV,92.5,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),TA,54.44,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),VA,65.45,1.0
สถานีรถไฟปัตตานี (โคกโพธิ์),VC,0.0,1.0
สถานีรถไฟพัทลุง,AA,30.0,1.0
สถานีรถไฟพัทลุง,MA,80.0,1.0
สถานีรถไฟพัทลุง,NH,30.0,1.0
สถานีรถไฟพัทลุง,NW,79.48,1.0
สถานีรถไฟพัทลุง,SF,95.56,1.0
สถานีรถไฟพัทลุง,SK,0.0,1.0
สถานีรถไฟพัทลุง,SV,65.0,1.0
สถานีรถไฟพัทลุง,TA,75.0,1.0
สถานีรถไฟพัทลุง,VA,77.0,1.0
สถานีรถไฟพัทลุง,VC,0.0,1.0
สถานีรถไฟยะลา,AA,40.0,1.0
สถานีรถไฟยะลา,MA,51.61,1.0
สถานีรถไฟยะลา,NH,30.0,1.0
สถานีรถไฟยะลา,NW,62.0,1.0
สถานีรถไฟยะลา,SF,88.57,1.0
สถานีรถไฟยะลา,SK,0.0,1.0
สถานีรถไฟยะลา,SV,47.5,1.0
สถานีรถไฟยะลา,TA,45.71,1.0
สถานีรถไฟยะลา,VA,53.0,1.0
สถานีรถไฟยะลา,VC,0.0,1.0
สถานีรถไฟสุราษฎร์ธานี,AA,43.33,1.0
สถานีรถไฟสุราษฎร์ธานี,MA,58.33,1.0
สถานีรถไฟสุราษฎร์ธานี,NH,30.0,1.0
