Station Name,Lat,Lon,Coordinate,PTAI,AI,II,IFI,OVERALL,OA,OI
ท่าอากาศยานกระบี่,8.099280199999999,98.98319479999999,"8.099280199999999,98.98319479999999",0.0,0,0,1.24,61.24,53.470588235294116,69
ท่าอากาศยานชุมพร,10.714486099999998,99.3587278,"10.714486099999998,99.3587278",0.0,0,0,1.47,57.91,55.8235294117647,60
ท่าอากาศยานตรัง,7.512011,99.61547,"7.512011,99.61547",0.0,0,0,1.13,56.35,49.705882352941174,63
ท่าอากาศยานนครศรีธรรมราช,8.540025,99.9399875,"8.540025,99.9399875",0.0,0,0,1.49,55.26,48.529411764705884,62
ท่าอากาศยานนราธิวาส,6.5231381,101.74872459999999,"6.5231381,101.74872459999999",0.0,0,0,1.33,47.44,44.88235294117647,50
ท่าอากาศยานนานาชาติภูเก็ต,8.1110951,98.3064646,"8.1110951,98.3064646",0.0,0,0,1.45,55.91,53.8235294117647,58
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,9.135717300000001,99.14131479999999,"9.135717300000001,99.14131479999999",0.0,0,0,1.2,57.97,54.94117647058823,61
ท่าอากาศยานหาดใหญ่,6.936216099999999,100.3937206,"6.936216099999999,100.3937206",0.0,0,0,1.31,65.32,65.6470588235294,65
ท่าอากาศยานเบตง,5.7859551,101.1475264,"5.7859551,101.1475264",0.0,0,0,1.25,51.56,51.11764705882353,52
ท่าเทียบเรือปากเมง,7.507745,99.31208000000001,"7.507745,99.31208000000001",0.0,0,0,0.67,42.47,34.94117647058823,50
ท่าเทียบเรือศุลกากร ระนอง,9.9814236,98.6001052,"9.9814236,98.6001052",0.0,0,0,1.13,43.88,37.76470588235294,50
ท่าเทียบเรือหลักเมือง,6.8690239,101.2529468,"6.8690239,101.2529468",0.0,0,0,0.8,36.91,23.823529411764707,50
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),7.2180985,100.57996240000001,"7.2180985,100.57996240000001",0.0,0,0,0.21,30.74,17.470588235294116,44
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),7.2209686,100.5748434,"7.2209686,100.5748434",0.0,0,0,0.62,16.88,3.764705882352941,30
ท่าเรือคงคา,8.061873,98.919443,"8.061873,98.919443",0.0,0,0,1.23,41.94,35.88235294117647,48
ท่าเรือทุ่งมะขามน้อย,10.3583753,99.2662816,"10.3583753,99.2662816",0.0,0,0,1.55,48.76,41.529411764705884,56
ท่าเรือปากบารา,6.8603952,99.7216042,"6.8603952,99.7216042",0.0,0,0,1.36,46.24,32.470588235294116,60
ท่าเรือรัษฎา,7.8712791,98.4143437,"7.8712791,98.4143437",0.0,0,0,1.47,45.74,43.470588235294116,48
ท่าเรือสวนเจ้าฟ้า,8.0630289,98.91930119999999,"8.0630289,98.91930119999999",0.0,0,0,1.46,44.15,34.294117647058826,54
ท่าเรือสุระกุล,8.390053446,98.46033096,"8.390053446,98.46033096",0.0,0,0,1.5,39.88,25.764705882352942,54
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,8.0998704,98.90585390000001,"8.0998704,98.90585390000001",0.0,0,0,1.29,48.09,45.1764705882353,51
สถานีขนส่งผู้โดยสารจังหวัดตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",0.0,0,0,0.85,51.35,48.705882352941174,54
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",0.0,0,0,1.44,43.68,36.35294117647059,51
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",0.0,0,0,1.01,52.82,50.64705882352941,55
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",0.0,0,0,1.06,53.09,53.1764705882353,53
สถานีขนส่งผู้โดยสารจังหวัดพังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",0.0,0,0,1.22,55.03,54.05882352941177,56
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",0.0,0,0,1.08,55.65,56.294117647058826,55
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",0.0,0,0,1.54,59.79,56.588235294117645,63
สถานีขนส่งผู้โดยสารจังหวัดระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",0.0,0,0,1.85,48.91,40.8235294117647,57
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",0.0,0,0,1.71,52.5,51.0,54
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),10.4869959,99.1206392,"10.4869959,99.1206392",0.0,0,0,1.21,44.65,35.294117647058826,54
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",0.0,0,0,0.88,45.29,44.588235294117645,46
สถานีขนส่งสตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",0.0,0,0,0.91,55.15,54.294117647058826,56
สถานีขนส่งหาดใหญ่,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",0.0,0,0,1.22,49.24,48.470588235294116,50
สถานีรถไฟชุมทางทุ่งสง,8.170674,99.679337,"8.170674,99.679337",0.0,0,0,1.42,54.47,49.94117647058823,59
สถานีรถไฟชุมทางหาดใหญ่,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",0.0,0,0,1.48,49.88,46.76470588235294,53
สถานีรถไฟชุมพร,10.502997,99.175949,"10.502997,99.175949",0.0,0,0,0.69,49.5,50.0,49
สถานีรถไฟตรัง,7.55448,99.6046,"7.55448,99.6046",0.0,0,0,1.26,55.74,55.470588235294116,56
สถานีรถไฟปัตตานี (โคกโพธิ์),6.72947,101.094,"6.72947,101.094",0.0,0,0,0.86,52.76,47.529411764705884,58
สถานีรถไฟพัทลุง,7.620982000000001,100.0856112,"7.620982000000001,100.0856112",0.0,0,0,1.42,60.47,61.94117647058823,59
สถานีรถไฟยะลา,6.560467699999999,101.29282020000001,"6.560467699999999,101.29282020000001",0.0,0,0,1.21,46.38,46.76470588235294,46
สถานีรถไฟสุราษฎร์ธานี,9.104137,99.23048,"9.104137,99.23048",0.0,0,0,1.22,48.29,40.588235294117645,56
