fid,Name_gmap,s_id,agency,name_th,name_en,stn_mode,stn_level,province,phase1,stn_id,description,subdistrict,district,region,acc_score,x,y
222,Ban Ko Yai,203,รฟท,สถานีรถไฟบ้านเกาะใหญ่,Ban Ko Yai,train,3,สงขลา,,4342,ธนบุรี - สุไหงโกลก,บางเหรียง,ควนเนียง,south,,7.14595,100.385
224,Ban Din Lan,204,รฟท,สถานีรถไฟบ้านดินลาน,Ban Din Lan,train,3,สงขลา,,4345,ธนบุรี - สุไหงโกลก,ท่าช้าง,บางกล่ำ,south,,7.0475676,100.4325639
261,Padang Besar railway station (Thailand).,205,รฟท,สถานีรถไฟปาดังเบซาร์ (ไทย),Pa dang Besar (Thai),train,1,สงขลา,0,-,หาดใหญ่ - ปาดังเบซาร์,ปาดังเบซาร์,สะเดา,south,,6.6688632,100.3243915
227,Na Muang,206,รฟท,สถานีรถไฟวัดควนมีด,Wat Khuan Mit,train,3,สงขลา,,4381,ธนบุรี - สุไหงโกลก,คลองเปียะ,จะนะ,south,,6.96555,100.555
85,ท่าเรือเกาะตะรุเตา,207,,ท่าเรือเกาะตะรุเตา,,ferry,3,สตูล,0,p047,,,เมืองสตูล,south,,6.7037082,99.6462085
67,Koh Lipe Pier,208,,ท่าเรือเกาะหลีเป๊ะ,Koh Lipe Pier,ferry,3,สตูล,0,p048,,,เมืองสตูล,south,,6.4868986,99.3032178
54,Tammalang Pier,209,,ท่าเรือตำมะลัง,,ferry,2,สตูล,0,p049,สตูล - ลังกาวี,,เมืองสตูล,south,,6.5331682,100.0695073
84,Thung Wa Pier,210,,ท่าเรือทุ้งหว้า,,ferry,2,สตูล,0,p050,,,,south,,7.1073916,99.7475033
53,Pak Bara Pier,211,,ท่าเรือปากบารา,,ferry,2,สตูล,1,p051,"ปากบารา - เกาะตะรุเตา,ปากบารา - หลีเป๊ะ",,ละงู,south,,6.8603952,99.7216042
,Satun Bus Station,212,,สถานีขนส่งสตูล,Satun Bus terminal,ferry,1,สตูล,1,p052,,,,south,,6.597249,100.066571
2,Surat Thani International Airport,213,Department of Airports,ท่าอากาศยานนานาชาติสุราษฎร์ธานี,Surat Thani International Airport,airport,2,สุราษฎร์ธานี,1,URT,,,,south,,9.1357173,99.1413148
8,Samui Airport,214,Bangkok Airways,ท่าอากาศยานสมุย,Samui Airport,airport,1,สุราษฎร์ธานี,1,USM,,,,south,,9.5484366,100.0630279
34,สถานีขนส่งผู้โดยสาร,215,,สถานีขนส่งเกาะสมุย,,bus,1,สุราษฎร์ธานี,1,B022,,,,south,,9.5213559,99.9411484
15,สถานีขนส่งผู้โดยสาร อ.บ้านตาขุน -บขส.999แห่งใหม่,216,,สถานีขนส่งบ้านตาขุน,,bus,1,สุราษฎร์ธานี,,B023,,,,south,,8.9200801,98.9016167
31,Surat Thani Bus Terminal,217,,สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,,bus,2,สุราษฎร์ธานี,1,B024,,,,south,,9.1116134,99.2983044
26,Transport Company Limited Lang Suan Station,218,,สถานีขนส่งหลังสวน,,bus,1,สุราษฎร์ธานี,,B025,,,,south,,9.9661684,99.0690786
33,สถานีเดินรถพุนพิน,219,,สถานีเดินรถพุนพิน,,bus,1,สุราษฎร์ธานี,,B026,,,,south,,9.112358,99.165788
37,Donsak Seatran,220,เอกชน,ท่าเรือ ซีทรานเฟอร์รี่,,ferry,2,สุราษฎร์ธานี,,p053,ดอนสัก - เกาะพะงัน,,,south,,9.3212793,99.7352998
100,HAAD RIN PIER (HAAD RIN QUEEN FERRY),221,,ท่าเรือ หาดริ้น เกาะพะงัน,,ferry,1,สุราษฎร์ธานี,,p054,,,เกาะพะงัน,south,,9.6742643,100.0637099
38,Donsak Raja,222,บริษัท ราชาเฟอร์รี่ จำกัด,ท่าเรือดอนสักราชา,,ferry,2,สุราษฎร์ธานี,1,p055,ดอนสัก - สมุย,,,south,,9.3289429,99.7444702
93,"Thongsala Pier (Raja, Lomprayah, Seatran, Night Boat)",223,เอกชน,ท่าเรือทองศาลา,,ferry,1,สุราษฎร์ธานี,,p056,,,เกาะพะงัน,south,,9.708882,99.983793
263,ท่าเรือท้องหลา,224,,ท่าเรือท้องหลา,,ferry,1,สุราษฎร์ธานี,,p057,,,เกาะพะงัน,south,,,
